time;x;y;z;t_1-T_n-1;a_tot;;;
1,42764E+18;-0,0533;0,6967;10,2185;49740032;10,24231457;;;
1,42764E+18;-0,0341;0,6716;10,2071;61309952;10,22920709;;;
1,42764E+18;-0,0407;0,6704;10,2526;48860160;10,27454392;;;
1,42764E+18;-0,0407;0,6961;10,2394;63779840;10,26311769;;;
1,42764E+18;-0,0509;0,6728;10,2334;60300032;10,25563418;;;
1,42764E+18;-0,0467;0,6788;10,2029;59420160;10,22554908;;;
1,42764E+18;-0,0413;0,6746;10,2316;67869952;10,25391699;;;
1,42764E+18;-0,0652;0,6788;10,2400;52009984;10,26267933;;;
1,42764E+18;-0,0443;0,6722;10,2304;48879872;10,25257784;;;
1,42764E+18;-0,0407;0,6895;10,2328;61070080;10,25610416;;;
1,42764E+18;-0,0557;0,6823;10,2250;62230016;10,24793044;;;
1,42764E+18;-0,0491;0,6794;10,2334;56969984;10,25605944;;;
1,42764E+18;-0,0491;0,6889;10,2167;74340096;10,23997736;;;
1,42764E+18;-0,0617;0,6829;10,2274;61430016;10,25039321;;;
1,42764E+18;-0,0557;0,6889;10,2017;62959872;10,22508121;;;
1,42764E+18;-0,0599;0,6746;10,2083;65129984;10,23071659;;;
1,42764E+18;-0,0581;0,7009;10,2514;64509952;10,27546999;;;
1,42764E+18;-0,0401;0,6859;10,2268;50080000;10,24988844;;;
1,42764E+18;-0,0449;0,6752;10,2250;66860032;10,24740184;;;
1,42764E+18;-0,0634;0,6919;10,2304;66500096;10,25399239;;;
1,42764E+18;-0,0455;0,7015;10,2406;54599936;10,26469978;;;
1,42764E+18;-0,0503;0,6973;10,2292;65550080;10,25309006;;;
1,42764E+18;-0,0413;0,6943;10,2316;63350016;10,25523535;;;
1,42764E+18;-0,0497;0,6865;10,2568;63729920;10,27983109;;;
1,42764E+18;-0,0575;0,6841;10,2173;62309888;10,24029656;;;
1,42764E+18;-0,0449;0,6871;10,2250;65280000;10,24819753;;;
1,42764E+18;-0,0545;0,6877;10,2137;62350080;10,23693693;;;
1,42764E+18;-0,0581;0,7063;10,2669;61979904;10,29136386;;;
1,42764E+18;-0,0485;0,6895;10,2418;63290112;10,2650961;;;
1,42764E+18;-0,0646;0,6961;10,2185;62040064;10,24233933;;;
1,42764E+18;-0,0479;0,6812;10,2238;61440000;10,24661715;;;
1,42764E+18;-0,0353;0,6883;10,2214;61369856;10,24465752;;;
1,42764E+18;-0,0479;0,6859;10,2502;59110144;10,27321337;;;
1,42764E+18;-0,0640;0,6937;10,2310;63170048;10,25471505;;;
1,42764E+18;-0,0389;0,6985;10,2191;55729920;10,24296983;;;
1,42764E+18;-0,0425;0,6967;10,2448;61309952;10,26854012;;;
1,42764E+18;-0,0407;0,6740;10,2101;66830080;10,23237411;;;
1,42764E+18;-0,0503;0,6895;10,2394;62159872;10,26271567;;;
1,42764E+18;-0,0467;0,6967;10,2143;68640000;10,23810319;;;
1,42764E+18;-0,0479;0,6865;10,2017;61860096;10,22488077;;;
1,42764E+18;-0,0443;0,7063;10,2208;59780096;10,24531698;;;
1,42764E+18;-0,0640;0,6782;10,2208;64299776;10,24352053;;;
1,42764E+18;-0,0431;0,7117;10,2364;57560064;10,26120899;;;
1,42764E+18;-0,0485;0,7057;10,1987;57370112;10,22320167;;;
1,42764E+18;-0,0335;0,6973;10,2059;75129856;10,22973187;;;
1,42764E+18;-0,0497;0,6949;10,2364;61070080;10,26009001;;;
1,42764E+18;-0,0359;0,7021;10,2550;64999936;10,27903404;;;
1,42764E+18;-0,0569;0,6829;10,2400;59729920;10,26290744;;;
1,42764E+18;-0,0491;0,6728;10,2089;62460160;10,2311377;;;
1,42764E+18;-0,0425;0,6806;10,1999;49689856;10,22266482;;;
1,42764E+18;-0,0347;0,6889;10,2089;61310208;10,23215427;;;
1,42764E+18;-0,0413;0,6883;10,2454;59899904;10,26856773;;;
1,42764E+18;-0,0611;0,6901;10,2256;57560064;10,24907979;;;
1,42764E+18;-0,0335;0,6853;10,2316;60300032;10,25460301;;;
1,42764E+18;-0,0587;0,6937;10,2466;62649856;10,27020897;;;
